unique_id,agency_name
148,City of New York Police Department
145,Austin Police Department
146,Town Creek Police Department
20799,"Michigan State Police, Cass County Sheriff's Office"
152,Los Angeles Police Department
151,Tallmadge Police Department
153,Georgia Department of Corrections
154,Long Beach Police Department
21923,Hammond Police Department
25824,Franklin Police Department
155,Sacramento Police Department
157,San Mateo County Sheriff's Office
156,California Highway Patrol
22245,Norfolk Police Department
158,Atlanta Police Department
161,Ventura County Sheriff's Office
159,Vermont State Police
163,Coffee County Sheriff's Office
160,Gulfport Police Department
22246,Halifax County Sheriff's Office
162,Arkansas Game and Fish Commission
19357,Philadelphia Police Department
165,Chattanooga Police Department
164,Colorado Springs Police Department
22605,Metropolitan Nashville Police Department
167,Santa Ana Police Department
168,Mesa Police Department
166,Windsor Police Department
22604,Trenton Police Department
22247,Virginia State Police
171,Berkeley Police Department
170,Seattle Police Department
169,City of New York Police Department
22603,Grundy County Sheriff's Office
172,Palm Springs Police Department
173,Excelsior Springs Police Department
174,Levelland Police Department
175,Douglasville Police Department
177,Cayce Department of Public Safety
176,Independence Police Department
178,Anchorage Police Department
179,Hamilton County Sheriff's Office
180,Houston Police Department
181,Fordyce Police Department
22602,Metropolitan Nashville Police Department
182,Sangamon County Sheriff's Office
183,City of New York Police Department
21362,Elizabeth Police Department
25825,Troy Police Department
184,Phoenix Police Department
25826,
185,Amarillo Police Department
21363,Hackensack Police Department
186,St. Louis Metropolitan Police Department
187,King County Sheriff's Office
190,Los Angeles County Sheriff's Department
189,Los Angeles Police Department
188,"Marin County Sheriff's Office, Sausalito Police Department, Mill Valley Police Department"
191,Long Beach Police Department
194,Georgetown County Sheriff's Office
192,Cobb County Police Department
193,Laurens Police Department
195,Laurens Police Department
196,Holly Springs Police Department
197,San Juan County Sheriff's Office
25829,"Riesel Police Department, Mart Police Department"
25830,"Riesel Police Department, Mart Police Department"
201,Denver Police Department
200,Long Beach Police Department
198,Tampa Police Department
199,Tampa Police Department
22601,Metropolitan Nashville Police Department
23112,Oceana Police Department
202,California Highway Patrol
203,Los Angeles Police Department
204,Chicago Police Department
19358,Upper Darby Township Police Department
211,"Gasconade County Sheriff's Office, Owensville Police Department"
205,Miami-Dade Police Department
207,Alameda Police Department
208,Rohnert Park Department of Public Safety
209,California Highway Patrol
210,California Highway Patrol
206,"Santa Rosa Police Department, Sonoma County Junior College District Police Department"
21364,Nutley Police Department
214,Aurora Police Department
213,Augusta Police Department
21365,Newark Police Department
212,Jackson Police Department
215,U.S. Drug Enforcement Administration
19359,Duquesne Police Department
216,Columbus Division of Police
217,Fort Payne Police Department
21366,Westfield Police Department
21367,Westfield Police Department
218,Fontana Police Department
219,San Bernardino County Sheriff's Office
220,Macon Police Department
221,"Nebraska State Patrol, Buffalo County Sheriff's Office"
224,"Orange County Sheriff's Department, Anaheim Police Department"
222,Portland Police Bureau
223,Chicago Police Department
22248,Norfolk Police Department
225,Jefferson County Sheriff's Office
226,Jefferson County Sheriff's Office
228,Miami-Dade Police Department
230,Sapulpa Police Department
229,Minneapolis Police Department
227,Bakersfield Police Department
231,Louisiana State Police
20800,"Chesterfield Township Police Department, Macomb County Sheriff's Office"
20801,"Michigan State Police, Cass County Sheriff's Office"
232,Hillsborough County Sheriff's Office
233,Charleston County Sheriff's Office
235,Prince George's County Sheriff's Office
234,Rensselaer Police Department
239,Los Angeles Police Department
237,Prince George's County Sheriff's Office
238,Stockton Police Department
236,Edgefield Police Department
22600,Memphis Police Department
240,Los Angeles County Sheriff's Department
21368,Egg Harbor Township Police Department
241,Ventura County Sheriff's Office
243,"Livingston Police Department, Park County Sheriff's Office"
242,Somerville Police Department
244,California Highway Patrol
245,Waterloo Police Department
246,Spartanburg County Sheriff's Office
247,City of New York Police Department
248,Lexington County Sheriff's Department
20802,Michigan State Police
21443,Baltimore Police Department
249,Fort Myers Police Department
21369,Andover Township Police Department
19360,Pittsburgh Bureau of Police
21442,Baltimore Police Department
250,Hazel Crest Police Department
